"Date","Price","Open","High","Low","Vol.","Change %"
"20/06/2025","5,967.84","5,999.67","6,018.20","5,952.56","","-0.22%"
"18/06/2025","5,980.87","5,987.93","6,018.25","5,971.89","","-0.03%"
"17/06/2025","5,982.72","6,012.15","6,023.25","5,974.80","","-0.84%"
"16/06/2025","6,033.11","6,004.00","6,050.83","6,004.00","","0.94%"
"13/06/2025","5,976.97","6,000.56","6,026.16","5,963.21","","-1.13%"
"12/06/2025","6,045.26","6,009.90","6,045.43","6,003.88","","0.38%"
"11/06/2025","6,022.24","6,049.38","6,059.40","6,002.32","","-0.27%"
"10/06/2025","6,038.81","6,009.91","6,043.01","6,000.28","","0.55%"
"09/06/2025","6,005.88","6,004.63","6,021.31","5,994.18","","0.09%"
"06/06/2025","6,000.36","5,987.06","6,016.87","5,978.63","","1.03%"
"05/06/2025","5,939.30","5,985.67","5,999.70","5,921.20","","-0.53%"
"04/06/2025","5,970.81","5,978.94","5,990.48","5,966.11","","0.01%"
"03/06/2025","5,970.37","5,938.56","5,981.35","5,929.00","","0.58%"
"02/06/2025","5,935.94","5,896.68","5,937.40","5,861.43","","0.41%"
"30/05/2025","5,911.69","5,903.67","5,922.14","5,843.66","","-0.01%"
"29/05/2025","5,912.17","5,939.96","5,943.13","5,873.80","","0.40%"
"28/05/2025","5,888.55","5,925.54","5,939.92","5,881.88","","-0.56%"
"27/05/2025","5,921.54","5,854.07","5,924.33","5,854.07","","2.05%"
"23/05/2025","5,802.82","5,781.89","5,829.51","5,767.41","","-0.67%"
"22/05/2025","5,842.01","5,841.26","5,878.08","5,825.82","","-0.04%"
"21/05/2025","5,844.61","5,910.18","5,938.37","5,830.91","","-1.61%"
"20/05/2025","5,940.46","5,944.66","5,953.06","5,909.26","","-0.39%"
"19/05/2025","5,963.60","5,902.88","5,968.61","5,895.69","","0.09%"
"16/05/2025","5,958.38","5,929.09","5,958.62","5,907.36","","0.70%"
"15/05/2025","5,916.93","5,869.82","5,924.21","5,865.16","","0.41%"
"14/05/2025","5,892.58","5,896.74","5,906.55","5,872.11","","0.10%"
"13/05/2025","5,886.55","5,854.15","5,906.64","5,845.02","","0.72%"
"12/05/2025","5,844.19","5,807.20","5,845.37","5,786.08","","3.26%"
"09/05/2025","5,659.91","5,679.65","5,691.69","5,644.15","","-0.07%"
"08/05/2025","5,663.94","5,663.60","5,720.10","5,635.38","","0.58%"
"07/05/2025","5,631.28","5,614.18","5,654.73","5,578.64","","0.43%"
"06/05/2025","5,606.91","5,605.87","5,649.58","5,586.04","","-0.77%"
"05/05/2025","5,650.38","5,655.32","5,683.38","5,634.48","","-0.64%"
"02/05/2025","5,686.67","5,645.88","5,700.70","5,642.28","","1.47%"
"01/05/2025","5,604.14","5,625.14","5,658.91","5,597.35","","0.63%"
"30/04/2025","5,569.06","5,499.44","5,581.84","5,433.24","","0.15%"
"29/04/2025","5,560.83","5,508.87","5,571.95","5,505.70","","0.58%"
"28/04/2025","5,528.75","5,529.22","5,553.66","5,468.64","","0.06%"
"25/04/2025","5,525.21","5,489.73","5,528.11","5,455.86","","0.74%"
"24/04/2025","5,484.77","5,381.38","5,489.40","5,371.96","","2.03%"
"23/04/2025","5,375.86","5,395.92","5,469.69","5,356.17","","1.67%"
"22/04/2025","5,287.76","5,207.67","5,309.61","5,207.67","","2.51%"
"21/04/2025","5,158.20","5,232.94","5,232.94","5,101.63","","-2.36%"
"17/04/2025","5,282.70","5,305.45","5,328.31","5,255.58","","0.13%"
"16/04/2025","5,275.70","5,335.75","5,367.24","5,220.79","","-2.24%"
"15/04/2025","5,396.63","5,411.99","5,450.41","5,386.44","","-0.17%"
"14/04/2025","5,405.97","5,441.96","5,459.46","5,358.02","","0.79%"
"11/04/2025","5,363.36","5,255.56","5,381.46","5,220.77","","1.81%"
"10/04/2025","5,268.05","5,353.15","5,353.15","5,115.27","","-3.46%"
"09/04/2025","5,456.90","4,965.28","5,481.34","4,948.43","","9.52%"
"08/04/2025","4,982.77","5,193.57","5,267.47","4,910.42","","-1.57%"
"07/04/2025","5,062.25","4,953.79","5,246.57","4,835.04","","-0.23%"
"04/04/2025","5,074.08","5,292.14","5,292.14","5,069.90","","-5.97%"
"03/04/2025","5,396.52","5,492.74","5,499.53","5,390.83","","-4.84%"
"02/04/2025","5,670.97","5,580.76","5,695.31","5,571.48","","0.67%"
"01/04/2025","5,633.07","5,597.53","5,650.57","5,558.52","","0.38%"
"31/03/2025","5,611.85","5,527.91","5,627.56","5,488.73","","0.55%"
"28/03/2025","5,580.94","5,679.20","5,685.89","5,572.42","","-1.97%"
"27/03/2025","5,693.31","5,695.64","5,732.28","5,670.94","","-0.33%"
"26/03/2025","5,712.20","5,771.66","5,783.62","5,694.41","","-1.12%"
"25/03/2025","5,776.65","5,775.96","5,786.95","5,760.42","","0.16%"
"24/03/2025","5,767.57","5,718.08","5,775.14","5,718.08","","1.76%"
"21/03/2025","5,667.56","5,630.73","5,670.84","5,603.10","","0.08%"
"20/03/2025","5,662.89","5,646.92","5,711.15","5,632.33","","-0.22%"
"19/03/2025","5,675.29","5,632.37","5,715.33","5,622.20","","1.08%"
"18/03/2025","5,614.66","5,654.53","5,654.53","5,597.76","","-1.07%"
"17/03/2025","5,675.12","5,635.60","5,703.52","5,631.12","","0.64%"
"14/03/2025","5,638.94","5,563.85","5,645.27","5,563.85","","2.13%"
"13/03/2025","5,521.52","5,594.45","5,597.78","5,504.65","","-1.39%"
"12/03/2025","5,599.30","5,624.84","5,642.19","5,546.09","","0.49%"
"11/03/2025","5,572.07","5,603.65","5,636.30","5,528.41","","-0.76%"
"10/03/2025","5,614.56","5,705.37","5,705.37","5,564.02","","-2.70%"
"07/03/2025","5,770.20","5,726.01","5,783.01","5,666.29","","0.55%"
"06/03/2025","5,738.52","5,785.87","5,812.08","5,711.64","","-1.78%"
"05/03/2025","5,842.63","5,781.36","5,860.59","5,742.35","","1.12%"
"04/03/2025","5,778.15","5,811.98","5,865.08","5,732.59","","-1.22%"
"03/03/2025","5,849.72","5,968.33","5,986.09","5,810.91","","-1.76%"
"28/02/2025","5,954.50","5,856.74","5,959.40","5,837.66","","1.59%"
"27/02/2025","5,861.57","5,981.88","5,993.69","5,858.78","","-1.59%"
"26/02/2025","5,956.06","5,970.87","6,009.82","5,932.69","","0.01%"
"25/02/2025","5,955.25","5,982.73","5,992.65","5,908.49","","-0.47%"
"24/02/2025","5,983.25","6,026.69","6,043.65","5,977.83","","-0.50%"
"21/02/2025","6,013.13","6,114.10","6,114.82","6,008.56","","-1.71%"
"20/02/2025","6,117.52","6,134.50","6,134.50","6,084.59","","-0.43%"
"19/02/2025","6,144.15","6,117.76","6,147.43","6,111.15","","0.24%"
"18/02/2025","6,129.58","6,121.60","6,129.63","6,099.51","","0.24%"
"14/02/2025","6,114.63","6,115.52","6,127.47","6,107.62","","-0.01%"
"13/02/2025","6,115.07","6,060.59","6,116.91","6,050.95","","1.04%"
"12/02/2025","6,051.97","6,025.08","6,063.00","6,003.00","","-0.27%"
"11/02/2025","6,068.50","6,049.32","6,076.28","6,042.34","","0.03%"
"10/02/2025","6,066.44","6,046.40","6,073.38","6,044.84","","0.67%"
"07/02/2025","6,025.99","6,083.13","6,101.28","6,019.96","","-0.95%"
"06/02/2025","6,083.57","6,072.22","6,084.03","6,046.83","","0.36%"
"05/02/2025","6,061.48","6,020.45","6,062.86","6,007.06","","0.39%"
"04/02/2025","6,037.88","5,998.14","6,042.48","5,990.87","","0.72%"
"03/02/2025","5,994.57","5,969.65","6,022.13","5,923.93","","-0.76%"
"31/01/2025","6,040.53","6,096.79","6,120.91","6,030.93","","-0.50%"
"30/01/2025","6,071.17","6,050.75","6,086.64","6,027.46","","0.53%"
"29/01/2025","6,039.31","6,057.70","6,062.83","6,012.96","","-0.47%"
"28/01/2025","6,067.70","6,026.97","6,074.54","5,994.63","","0.92%"
"27/01/2025","6,012.28","5,969.04","6,017.17","5,962.92","","-1.46%"
"24/01/2025","6,101.24","6,121.43","6,128.18","6,088.74","","-0.29%"
"23/01/2025","6,118.71","6,076.32","6,118.73","6,074.67","","0.53%"
"22/01/2025","6,086.37","6,081.39","6,100.81","6,076.13","","0.61%"
"21/01/2025","6,049.24","6,014.12","6,051.51","6,006.88","","0.88%"
"17/01/2025","5,996.66","5,995.40","6,014.96","5,978.44","","1.00%"
"16/01/2025","5,937.34","5,963.61","5,964.69","5,930.72","","-0.21%"
"15/01/2025","5,949.91","5,905.21","5,960.61","5,905.21","","1.83%"
"14/01/2025","5,842.91","5,859.27","5,871.92","5,805.42","","0.11%"
"13/01/2025","5,836.22","5,782.02","5,838.61","5,773.31","","0.16%"
"10/01/2025","5,827.04","5,890.35","5,890.35","5,807.78","","-1.54%"
"08/01/2025","5,918.25","5,910.66","5,927.89","5,874.78","","0.16%"
"07/01/2025","5,909.03","5,993.26","6,000.68","5,890.68","","-1.11%"
"06/01/2025","5,975.38","5,982.81","6,021.04","5,960.01","","0.55%"
"03/01/2025","5,942.47","5,891.07","5,949.34","5,888.66","","1.26%"
"02/01/2025","5,868.55","5,903.26","5,935.09","5,829.53","","-0.22%"
"31/12/2024","5,881.63","5,919.74","5,929.74","5,868.86","","-0.43%"
"30/12/2024","5,906.94","5,920.67","5,940.79","5,869.16","","-1.07%"
"27/12/2024","5,970.84","6,006.17","6,006.17","5,932.95","","-1.11%"
"26/12/2024","6,037.59","6,024.97","6,049.75","6,007.37","","-0.04%"
"24/12/2024","6,040.04","5,984.63","6,040.10","5,981.44","","1.10%"
"23/12/2024","5,974.07","5,940.25","5,978.25","5,902.57","","0.73%"
"20/12/2024","5,930.85","5,842.00","5,982.06","5,832.30","","1.09%"
"19/12/2024","5,867.08","5,912.71","5,935.52","5,866.07","","-0.09%"
"18/12/2024","5,872.16","6,047.65","6,070.67","5,867.79","","-2.95%"
"17/12/2024","6,050.61","6,052.55","6,057.68","6,035.19","","-0.39%"
"16/12/2024","6,074.08","6,063.79","6,085.19","6,059.14","","0.38%"
"13/12/2024","6,051.09","6,068.17","6,078.58","6,035.77","","0.00%"
"12/12/2024","6,051.25","6,074.29","6,079.68","6,051.25","","-0.54%"
"11/12/2024","6,084.19","6,060.15","6,092.59","6,060.15","","0.82%"
"10/12/2024","6,034.91","6,057.59","6,065.40","6,029.89","","-0.30%"
"09/12/2024","6,052.85","6,083.01","6,088.51","6,048.63","","-0.61%"
"06/12/2024","6,090.27","6,081.38","6,099.97","6,079.98","","0.25%"
"05/12/2024","6,075.11","6,089.03","6,094.55","6,072.90","","-0.19%"
"04/12/2024","6,086.49","6,069.39","6,089.84","6,061.06","","0.61%"
"03/12/2024","6,049.88","6,042.97","6,052.07","6,033.39","","0.05%"
"02/12/2024","6,047.15","6,040.11","6,053.58","6,035.33","","0.24%"
"29/11/2024","6,032.38","6,003.98","6,044.17","6,003.98","","0.56%"
"27/11/2024","5,998.74","6,014.11","6,020.16","5,984.87","","-0.38%"
"26/11/2024","6,021.63","6,000.03","6,025.42","5,992.27","","0.57%"
"25/11/2024","5,987.37","5,992.28","6,020.75","5,963.91","","0.30%"
"22/11/2024","5,969.34","5,944.36","5,972.90","5,944.36","","0.35%"
"21/11/2024","5,948.71","5,940.58","5,963.32","5,887.26","","0.53%"
"20/11/2024","5,917.11","5,914.34","5,920.67","5,860.56","","0.00%"
"19/11/2024","5,916.98","5,870.05","5,923.51","5,855.29","","0.40%"
"18/11/2024","5,893.62","5,874.17","5,908.12","5,865.95","","0.39%"
"15/11/2024","5,870.62","5,912.79","5,915.32","5,853.01","","-1.32%"
"14/11/2024","5,949.17","5,989.68","5,993.88","5,942.28","","-0.60%"
"13/11/2024","5,985.38","5,985.75","6,008.19","5,965.91","","0.02%"
"12/11/2024","5,983.99","6,003.60","6,009.92","5,960.08","","-0.29%"
"11/11/2024","6,001.35","6,008.86","6,017.31","5,986.69","","0.10%"
"08/11/2024","5,995.54","5,976.76","6,012.45","5,976.76","","0.38%"
"07/11/2024","5,973.10","5,947.21","5,983.84","5,947.21","","0.74%"
"06/11/2024","5,929.04","5,864.89","5,936.14","5,864.89","","2.53%"
"05/11/2024","5,782.76","5,722.43","5,783.44","5,722.10","","1.23%"
"04/11/2024","5,712.69","5,725.15","5,741.43","5,696.51","","-0.28%"
"01/11/2024","5,728.80","5,723.22","5,772.52","5,723.22","","0.41%"
"31/10/2024","5,705.45","5,775.34","5,775.34","5,702.86","","-1.86%"
"30/10/2024","5,813.67","5,832.65","5,850.94","5,811.28","","-0.33%"
"29/10/2024","5,832.92","5,819.68","5,847.19","5,802.17","","0.16%"
"28/10/2024","5,823.52","5,833.93","5,842.92","5,823.08","","0.27%"
"25/10/2024","5,808.12","5,826.75","5,862.82","5,799.98","","-0.03%"
"24/10/2024","5,809.86","5,817.80","5,817.80","5,784.92","","0.21%"
"23/10/2024","5,797.42","5,834.50","5,834.85","5,762.41","","-0.92%"
"22/10/2024","5,851.20","5,832.70","5,863.04","5,821.17","","-0.05%"
"21/10/2024","5,853.98","5,857.82","5,866.92","5,824.79","","-0.18%"
"18/10/2024","5,864.67","5,859.43","5,872.17","5,846.11","","0.40%"
"17/10/2024","5,841.47","5,875.62","5,878.46","5,840.25","","-0.02%"
"16/10/2024","5,842.47","5,816.58","5,846.52","5,808.34","","0.47%"
"15/10/2024","5,815.26","5,866.74","5,870.36","5,804.48","","-0.76%"
"14/10/2024","5,859.85","5,829.81","5,871.41","5,829.57","","0.77%"
"11/10/2024","5,815.03","5,775.09","5,822.13","5,775.09","","0.61%"
"10/10/2024","5,780.05","5,778.36","5,795.03","5,764.76","","-0.21%"
"09/10/2024","5,792.04","5,751.80","5,796.80","5,745.02","","0.71%"
"08/10/2024","5,751.13","5,719.14","5,757.60","5,714.56","","0.97%"
"07/10/2024","5,695.94","5,737.80","5,739.34","5,686.85","","-0.96%"
"04/10/2024","5,751.07","5,737.48","5,753.21","5,702.83","","0.90%"
"03/10/2024","5,699.94","5,698.19","5,718.78","5,677.37","","-0.17%"
"02/10/2024","5,709.54","5,698.14","5,719.63","5,674.00","","0.01%"
"01/10/2024","5,708.75","5,757.73","5,757.73","5,681.28","","-0.93%"
"30/09/2024","5,762.48","5,726.52","5,765.14","5,703.53","","0.42%"
"27/09/2024","5,738.17","5,755.36","5,763.78","5,727.34","","-0.13%"
"26/09/2024","5,745.37","5,762.22","5,767.37","5,721.01","","0.40%"
"25/09/2024","5,722.26","5,733.65","5,741.03","5,712.06","","-0.19%"
"24/09/2024","5,732.93","5,727.66","5,735.32","5,698.99","","0.25%"
"23/09/2024","5,718.57","5,711.90","5,725.36","5,704.22","","0.28%"
"20/09/2024","5,702.55","5,709.64","5,715.14","5,674.49","","-0.19%"
"19/09/2024","5,713.64","5,702.63","5,733.57","5,686.42","","1.70%"
"18/09/2024","5,618.26","5,641.68","5,689.75","5,615.08","","-0.29%"
"17/09/2024","5,634.58","5,655.51","5,670.81","5,614.05","","0.03%"
"16/09/2024","5,633.09","5,615.21","5,636.05","5,604.53","","0.13%"
"13/09/2024","5,626.02","5,603.34","5,636.27","5,601.65","","0.54%"
"12/09/2024","5,595.76","5,557.48","5,600.71","5,535.50","","0.75%"
"11/09/2024","5,554.13","5,496.42","5,560.41","5,406.96","","1.07%"
"10/09/2024","5,495.52","5,490.51","5,497.91","5,441.72","","0.45%"
"09/09/2024","5,471.05","5,442.07","5,484.20","5,434.49","","1.16%"
"06/09/2024","5,408.42","5,507.33","5,522.47","5,402.62","","-1.73%"
"05/09/2024","5,503.41","5,520.08","5,546.30","5,480.54","","-0.30%"
"04/09/2024","5,520.07","5,506.68","5,552.99","5,503.66","","-0.16%"
"03/09/2024","5,528.93","5,623.89","5,623.89","5,504.33","","-2.12%"
"30/08/2024","5,648.40","5,612.74","5,651.37","5,581.79","","1.01%"
"29/08/2024","5,591.96","5,607.30","5,646.95","5,583.71","","0.00%"
"28/08/2024","5,592.18","5,624.51","5,627.03","5,560.95","","-0.60%"
"27/08/2024","5,625.80","5,602.89","5,631.18","5,593.48","","0.16%"
"26/08/2024","5,616.84","5,639.66","5,651.62","5,602.34","","-0.32%"
"23/08/2024","5,634.61","5,602.49","5,641.82","5,585.16","","1.15%"
"22/08/2024","5,570.64","5,637.77","5,643.22","5,560.95","","-0.89%"
"21/08/2024","5,620.85","5,603.09","5,632.68","5,591.57","","0.42%"
"20/08/2024","5,597.12","5,602.88","5,620.51","5,585.50","","-0.20%"
"19/08/2024","5,608.25","5,557.23","5,608.30","5,550.74","","0.97%"
"16/08/2024","5,554.25","5,530.50","5,561.98","5,525.17","","0.20%"
"15/08/2024","5,543.22","5,501.13","5,546.23","5,501.13","","1.61%"
"14/08/2024","5,455.21","5,442.36","5,463.22","5,415.91","","0.38%"
"13/08/2024","5,434.43","5,376.98","5,436.50","5,376.98","","1.68%"
"12/08/2024","5,344.39","5,351.88","5,371.20","5,324.37","","0.00%"
"09/08/2024","5,344.16","5,314.66","5,358.67","5,300.84","","0.47%"
"08/08/2024","5,319.31","5,252.57","5,328.03","5,233.85","","2.30%"
"07/08/2024","5,199.50","5,293.13","5,330.64","5,195.54","","-0.77%"
"06/08/2024","5,240.03","5,206.42","5,312.34","5,193.56","","1.04%"
